ID,name,type_ID,parent_ID,createdAt,createdBy,modifiedAt,modifiedBy
a85b2031-c94e-425e-80c3-8402ebfc7a77,Haribo,,,2026-07-24T18:54:58.036Z,admin,2026-07-24T18:54:58.036Z,admin
8b2fbd62-792b-492c-94be-58fef631dbea,DACH,,a85b2031-c94e-425e-80c3-8402ebfc7a77,2026-07-24T18:55:12.315Z,admin,2026-07-24T18:55:12.315Z,admin
8700bcb7-577e-4e16-b9d5-e2913b9aab17,Germany,,8b2fbd62-792b-492c-94be-58fef631dbea,2026-07-24T19:00:02.047Z,admin,2026-07-24T19:00:02.047Z,admin
3eb89551-c644-41f2-938f-821acfc01dbe,DE01,b62fb5f8-f8c3-476d-93cb-5a42da1e0dee,8700bcb7-577e-4e16-b9d5-e2913b9aab17,2026-07-24T19:00:13.792Z,admin,2026-07-24T19:00:13.792Z,admin
c9a923d7-c3f8-4d4b-a730-01d36de587be,DE09,b62fb5f8-f8c3-476d-93cb-5a42da1e0dee,8700bcb7-577e-4e16-b9d5-e2913b9aab17,2026-07-24T19:01:00.744Z,admin,2026-07-24T19:01:00.744Z,admin
9cbfcf9b-1990-4be8-af82-148fc11a5e21,DE09,134f4fb9-3fed-4728-8f53-380cd25b8b4a,c9a923d7-c3f8-4d4b-a730-01d36de587be,2026-07-24T19:01:14.998Z,admin,2026-07-24T19:01:14.998Z,admin
11503b82-301c-47c8-b2ae-ab3406c94480,DE01,45519ed8-7e69-4eb6-85d8-fca417d77498,9cbfcf9b-1990-4be8-af82-148fc11a5e21,2026-07-24T19:01:31.225Z,admin,2026-07-24T19:01:31.225Z,admin
f7972756-980e-43ba-af2f-e73dcf52862c,AT01,45519ed8-7e69-4eb6-85d8-fca417d77498,11503b82-301c-47c8-b2ae-ab3406c94480,2026-07-24T19:01:49.627Z,admin,2026-07-24T19:01:49.627Z,admin
225b9591-d428-474c-b8e1-85c6b0d919c6,Austria,,8b2fbd62-792b-492c-94be-58fef631dbea,2026-07-24T19:02:34.716Z,admin,2026-07-24T19:02:34.716Z,admin
5cb9319e-d188-4a3a-9876-8b2aa348211c,AT01,b62fb5f8-f8c3-476d-93cb-5a42da1e0dee,225b9591-d428-474c-b8e1-85c6b0d919c6,2026-07-24T19:03:06.926Z,admin,2026-07-24T19:03:06.926Z,admin
6b4fc2ac-c181-4cdd-83b6-5a8bc81f46c7,DE01,21b04295-a01f-40d2-b282-74ee3adcb01d,3eb89551-c644-41f2-938f-821acfc01dbe,2026-07-24T19:04:05.424Z,admin,2026-07-24T19:04:05.424Z,admin
3fd39d31-4969-4494-b96e-db64552b9267,EU w/o DACH,,a85b2031-c94e-425e-80c3-8402ebfc7a77,2026-07-24T19:04:34.252Z,admin,2026-07-24T19:04:34.252Z,admin
e836dd29-fe77-47ab-bb0c-5eb562e352dc,France,,3fd39d31-4969-4494-b96e-db64552b9267,2026-07-24T19:04:43.755Z,admin,2026-07-24T19:04:43.755Z,admin
f09c7e80-8dc6-44d2-bb19-11755b74517d,Spain,,3fd39d31-4969-4494-b96e-db64552b9267,2026-07-24T19:04:54.175Z,admin,2026-07-24T19:04:54.175Z,admin
9d3e944b-9e6a-41e8-b067-393ad01462fb,ES01,b62fb5f8-f8c3-476d-93cb-5a42da1e0dee,f09c7e80-8dc6-44d2-bb19-11755b74517d,2026-07-24T19:05:08.127Z,admin,2026-07-24T19:05:08.127Z,admin
4a455d93-9db5-4e83-83c4-bd7a789b9fd0,ES01,21b04295-a01f-40d2-b282-74ee3adcb01d,9d3e944b-9e6a-41e8-b067-393ad01462fb,2026-07-24T19:05:20.594Z,admin,2026-07-24T19:05:20.594Z,admin
6ac12d39-9520-432e-b255-17dc106d945f,ES01,134f4fb9-3fed-4728-8f53-380cd25b8b4a,9d3e944b-9e6a-41e8-b067-393ad01462fb,2026-07-24T19:05:35.806Z,admin,2026-07-24T19:05:35.806Z,admin
17bc4c60-d426-4713-92e7-8e1fdaa55100,ES01,45519ed8-7e69-4eb6-85d8-fca417d77498,6ac12d39-9520-432e-b255-17dc106d945f,2026-07-24T19:05:51.077Z,admin,2026-07-24T19:05:51.077Z,admin
bf3f47c7-033e-487a-b482-d0b3a4bf1f8c,ESW1,45519ed8-7e69-4eb6-85d8-fca417d77498,6ac12d39-9520-432e-b255-17dc106d945f,2026-07-24T19:06:10.125Z,admin,2026-07-24T19:06:10.125Z,admin
2baa58a3-51ba-4105-931b-657fe624bc03,Noth America,,a85b2031-c94e-425e-80c3-8402ebfc7a77,2026-07-24T19:06:33.456Z,admin,2026-07-24T19:06:33.456Z,admin
3f8e1bb8-d596-4bbc-8d92-f77668760e61,USA,,2baa58a3-51ba-4105-931b-657fe624bc03,2026-07-24T19:06:46.879Z,admin,2026-07-24T19:06:46.879Z,admin
90d4f214-3a94-43ec-b5a0-eb359f1c03d8,US01,b62fb5f8-f8c3-476d-93cb-5a42da1e0dee,3f8e1bb8-d596-4bbc-8d92-f77668760e61,2026-07-24T19:06:59.039Z,admin,2026-07-24T19:06:59.039Z,admin
f7a68503-040b-4f47-a716-c86006f345c6,US01,134f4fb9-3fed-4728-8f53-380cd25b8b4a,90d4f214-3a94-43ec-b5a0-eb359f1c03d8,2026-07-24T19:07:14.632Z,admin,2026-07-24T19:07:14.632Z,admin
acfa821d-880f-409a-811d-540232972268,US02,b62fb5f8-f8c3-476d-93cb-5a42da1e0dee,3f8e1bb8-d596-4bbc-8d92-f77668760e61,2026-07-24T19:07:28.721Z,admin,2026-07-24T19:07:28.721Z,admin
479c16c8-9fc5-4fc1-a31f-27bc75bbf3a0,US02,21b04295-a01f-40d2-b282-74ee3adcb01d,acfa821d-880f-409a-811d-540232972268,2026-07-24T19:07:41.696Z,admin,2026-07-24T19:07:41.696Z,admin
91133f09-c7f9-4dce-ab5f-24dae63f9ebe,FR01,b62fb5f8-f8c3-476d-93cb-5a42da1e0dee,e836dd29-fe77-47ab-bb0c-5eb562e352dc,2026-07-24T19:07:55.282Z,admin,2026-07-24T19:07:55.282Z,admin
8ecfcfbf-c79c-431a-a88b-9919c29f18fd,FR01,134f4fb9-3fed-4728-8f53-380cd25b8b4a,91133f09-c7f9-4dce-ab5f-24dae63f9ebe,2026-07-24T19:08:17.037Z,admin,2026-07-24T19:08:17.037Z,admin
